truth_values,adarel,svr,rf
0.980735552,0.99210022,0.976722504,0.992906129
0.994903005,0.989838305,0.991946831,0.991192181
0.988599014,0.99169902,0.996820058,0.996997136
0.984676426,0.990545401,0.994569556,0.980793077
0.972618369,0.98836781,0.99339419,0.988443152
0.997594708,0.986043624,0.989296262,0.986714885
0.993852459,0.9883748,0.998145552,0.983932037
0.990755008,0.990386515,0.996435966,0.994026852
0.995016988,0.990512888,0.99573387,0.988486859
0.982646421,0.992167057,0.997322758,0.997463808
0.973429952,0.989795679,0.992575991,0.986277992
1,0.987403615,0.989415089,0.987754905
0.996007984,0.989800342,0.998726738,0.996017672
0.995530726,0.992083238,0.997232489,0.992157948
0.992998833,0.993348414,0.997064562,0.995117024
1,0.993212375,0.996133009,0.991563348
0.97260274,0.995623597,0.998731965,0.996014242
1,0.99320071,0.98923364,0.988260889
0.948717949,0.995622567,0.998848167,0.995996836
1,0.993189032,0.982602422,0.990481607
1,0.995621509,0.99926313,0.99593938
1,0.997234322,0.99926313,0.995943639
1,0.998252946,0.99926313,0.995948229
0.997142857,0.998896341,0.99926313,0.995952194
1,0.99824713,0.998197199,0.991993556
0.868852459,0.998892671,0.998903898,0.995952846
0.987341772,0.996451375,0.968517307,0.976408009
0.994773519,0.994002907,0.994372941,0.991449502
0.953125,0.994281306,0.996935117,0.991077901
0.99339207,0.991820267,0.984634898,0.988462053
0.998117942,0.992392703,0.996949846,0.996480262
0.999268739,0.994499532,0.998608499,0.997188588
0.998071732,0.996255545,0.999022384,0.995685116
0.974835886,0.996922417,0.998591942,0.996296152
0.989985694,0.994446898,0.990540513,0.986904291
0.985330073,0.992793024,0.995367391,0.988603306
1,0.990297292,0.99377297,0.990408791
0.99,0.992793079,0.999157609,0.995822126
0.992063492,0.991758341,0.995649496,0.987413854
0.996972755,0.991861715,0.996083869,0.990987463
0.492453644,0.993740107,0.997800272,0.990571394
0.983164983,0.991330804,0.998054528,0.996409454
0.998165138,0.988725713,0.99318805,0.983693906
1,0.991243905,0.99868646,0.99819966
1,0.99342849,0.999088827,0.995816868
0.941176471,0.996085876,0.999088827,0.995838056
0.96,0.993490868,0.98184368,0.982649883
1,0.991280277,0.986206867,0.913903448
0.473214286,0.993487793,0.999002365,0.995768185
0.998,0.991267128,0.997428549,0.988297438
0.280033841,0.993390982,0.998135861,0.995333429
0.988589212,0.991157446,1.004680729,0.999788456
